id,audienceScore,tomatoMeter,runtimeMinutes,genre,kmeans_cluster
$5_a_day,49.0,,98.0,Comedy,
009_re_cyborg,43.0,23.0,103.0,"Action, Sci-fi, Animation",2.0
00_mhz,33.0,,101.0,Horror,
1,,,,,
1-day,49.0,47.0,90.0,Drama,2.0
1-one-human-minute,60.0,,,Mystery & thriller,
10,53.0,68.0,122.0,"Romance, Comedy",1.0
10-violent-women,,,95.0,Action,
1000013_12_angry_men,97.0,100.0,95.0,Drama,0.0
10000292-rat,58.0,,91.0,Fantasy,
10000390-mickey,,38.0,90.0,Drama,
10000583-frankenstein,54.0,,16.0,"Fantasy, Horror",
10000594-guardian,44.0,,89.0,Fantasy,
10000604-porgy_and_bess,77.0,72.0,138.0,"Drama, Musical, Romance",1.0
10000633-corrections,,,,,
10000705-princes_and_princesses,91.0,,74.0,"Kids & family, Fantasy, Animation",
10000719-victory,50.0,,62.0,"Drama, Romance, Mystery & thriller",
10000735-underworld,87.0,89.0,80.0,"Crime, Drama",0.0
1000079-20000_leagues_under_the_sea,74.0,90.0,127.0,"Kids & family, Drama, Adventure, Fantasy",1.0
10000942-harvest,29.0,,96.0,Drama,
10000966-siberia,70.0,,91.0,Drama,
10000_bc,37.0,9.0,109.0,"Adventure, Action, Drama",2.0
10000_black_men_named_george,76.0,,95.0,Drama,
10000_km,71.0,85.0,99.0,"Romance, Drama",0.0
10000_maniacs_time_capsule_19821990,,,,,
10000_miles,,,,,
10001039-touch,31.0,,103.0,"Action, Adventure, Romance",
10001054-gabriel_and_me,11.0,,84.0,"Comedy, Drama",
10001122-angel_city,80.0,,75.0,Comedy,
10001126-brave,67.0,33.0,123.0,Western,1.0
10001166-vidocq,65.0,,98.0,Mystery & thriller,
10001205-climb,72.0,,98.0,Drama,
1000121-39_steps,86.0,96.0,80.0,Mystery & thriller,0.0
1000123-310_to_yuma,79.0,97.0,92.0,Western,0.0
10001238-tribute,,100.0,85.0,Documentary,
10001305-scouts_honor,,,,,
10001400-abandoned,80.0,,79.0,"Crime, Drama",
10001491-peaches,0.0,,85.0,Comedy,
10001519-public_enemy,82.0,,,,
10001548-masquerade,29.0,40.0,102.0,"Mystery & thriller, Comedy",2.0
10001695-vampire,28.0,,74.0,Horror,
10001813-10001813-viva_erotica,64.0,,100.0,Comedy,
10001889-waiting_for_godot,67.0,,120.0,Drama,
10001956-tattoo,59.0,69.0,102.0,"Mystery & thriller, Horror",0.0
10001988-backfire,33.0,,91.0,Mystery & thriller,
10002008-charly,87.0,20.0,103.0,Romance,2.0
10002009-road,44.0,,150.0,Mystery & thriller,
10002020-conquest,,,92.0,"Comedy, Drama",
1000204-abraham_lincoln,38.0,75.0,97.0,Biography,2.0
10002076-black_and_white,59.0,43.0,99.0,Drama,2.0
10002103-samsara,89.0,100.0,138.0,"Drama, Romance",1.0
10002108-kiss_kiss_bang_bang,64.0,,99.0,"Crime, Drama",
10002114-dark_water,66.0,81.0,100.0,Horror,0.0
10002128-lola,85.0,93.0,115.0,Drama,1.0
1000218-accident,72.0,75.0,105.0,Drama,0.0
1000224-accused,79.0,92.0,110.0,Drama,0.0
10002249-sandman,,,,,
1000239-act_of_vengeance,25.0,,90.0,"Mystery & thriller, Action",
10002399-one_and_only,55.0,,89.0,"Romance, Comedy",
10002457-ping_pong,86.0,75.0,114.0,"Comedy, Drama",1.0
10002478-falls,84.0,83.0,185.0,Sci-fi,1.0
10002516-lost_city,64.0,26.0,143.0,"Drama, History",1.0
10002519-breaking_point,87.0,100.0,97.0,Drama,0.0
10002545-sandstorm,,80.0,,,
10002572-burglar,67.0,,90.0,"Crime, Drama",
10002619-lodger,71.0,,84.0,Mystery & thriller,
