id,audienceScore,tomatoMeter,runtimeMinutes,genre,kmeans_cluster
009_re_cyborg,43.0,23.0,103.0,"Action, Sci-fi, Animation",2
1-day,49.0,47.0,90.0,Drama,2
10,53.0,68.0,122.0,"Romance, Comedy",1
1000013_12_angry_men,97.0,100.0,95.0,Drama,0
10000604-porgy_and_bess,77.0,72.0,138.0,"Drama, Musical, Romance",1
10000735-underworld,87.0,89.0,80.0,"Crime, Drama",0
1000079-20000_leagues_under_the_sea,74.0,90.0,127.0,"Kids & family, Drama, Adventure, Fantasy",1
10000_bc,37.0,9.0,109.0,"Adventure, Action, Drama",2
10000_km,71.0,85.0,99.0,"Romance, Drama",0
10001126-brave,67.0,33.0,123.0,Western,1
1000121-39_steps,86.0,96.0,80.0,Mystery & thriller,0
1000123-310_to_yuma,79.0,97.0,92.0,Western,0
10001548-masquerade,29.0,40.0,102.0,"Mystery & thriller, Comedy",2
10001956-tattoo,59.0,69.0,102.0,"Mystery & thriller, Horror",0
10002008-charly,87.0,20.0,103.0,Romance,2
1000204-abraham_lincoln,38.0,75.0,97.0,Biography,2
10002076-black_and_white,59.0,43.0,99.0,Drama,2
10002103-samsara,89.0,100.0,138.0,"Drama, Romance",1
10002114-dark_water,66.0,81.0,100.0,Horror,0
10002128-lola,85.0,93.0,115.0,Drama,1
1000218-accident,72.0,75.0,105.0,Drama,0
1000224-accused,79.0,92.0,110.0,Drama,0
10002457-ping_pong,86.0,75.0,114.0,"Comedy, Drama",1
10002478-falls,84.0,83.0,185.0,Sci-fi,1
10002516-lost_city,64.0,26.0,143.0,"Drama, History",1
10002519-breaking_point,87.0,100.0,97.0,Drama,0
10002625-hero,46.0,50.0,183.0,"Mystery & thriller, Action",1
10002635-bridge_of_san_luis_rey,36.0,4.0,124.0,Drama,2
10002673-prowler,85.0,100.0,92.0,Mystery & thriller,0
10002693-sniper,64.0,82.0,87.0,Mystery & thriller,0
10002709-undercover_man,79.0,60.0,85.0,"Crime, Drama",0
10002759-crisis,46.0,71.0,95.0,Drama,2
10002869-unknown,89.0,100.0,65.0,Drama,0
10003184-turning_point,38.0,80.0,85.0,"Crime, Drama",2
10003190-illumination,71.0,67.0,85.0,Drama,0
10003276-criminal,57.0,69.0,87.0,"Crime, Drama",0
10003284-the_zodiac,38.0,27.0,92.0,"Mystery & thriller, Crime, Drama",2
1000334-adventures_of_mark_twain,81.0,80.0,86.0,"Kids & family, Adventure, Fantasy, Animation",0
10003437-deep_blue,80.0,67.0,90.0,Documentary,0
1000355-adventures_of_robin_hood,89.0,100.0,102.0,"Adventure, Action",0
10003645-twin_sisters,82.0,69.0,135.0,"Drama, Romance",1
10003660-americano,62.0,63.0,95.0,Romance,0
10003876-man_hunt,75.0,93.0,100.0,Mystery & thriller,0
10003925-dead_end,60.0,75.0,83.0,"Horror, Mystery & thriller",0
10004050-bandwagon,91.0,80.0,103.0,"Comedy, Drama",0
10004069-whore,63.0,0.0,77.0,Drama,2
10004275-army_of_one,40.0,88.0,70.0,Documentary,0
10004288-running_scared,79.0,41.0,121.0,"Crime, Drama, Mystery & thriller, Action",1
10004352-going_the_distance,61.0,0.0,93.0,Comedy,2
10004490-mourning_becomes_electra,45.0,67.0,173.0,Drama,1
10004504-ultraviolet,30.0,9.0,88.0,"Sci-fi, Action",2
10004617-letter,100.0,87.0,76.0,Documentary,0
10004635-home_of_the_brave,48.0,94.0,75.0,Documentary,0
10004659-arthur,56.0,22.0,94.0,"Kids & family, Fantasy",2
10004673-christmas_holiday,50.0,78.0,92.0,Mystery & thriller,0
10004684-malevolence,82.0,35.0,90.0,Horror,0
10004689-staircase,33.0,40.0,100.0,Drama,2
10004697-eternal,40.0,18.0,108.0,"Horror, Mystery & thriller, Lgbtq+",2
10004734-casshern,69.0,70.0,136.0,Adventure,1
10004835-farewell_to_arms,36.0,8.0,150.0,Romance,2
10004890-narrow_margin,88.0,100.0,71.0,"Crime, Drama",0
10004925-matador,66.0,75.0,97.0,"Comedy, Drama",0
10005017-death_of_a_salesman,77.0,100.0,115.0,Drama,1
10005057-smile,66.0,15.0,107.0,Drama,2
10005061-home,85.0,100.0,97.0,Drama,0
10005104-intruder,73.0,91.0,130.0,Drama,1
10005178-saint_ralph,85.0,64.0,98.0,"Comedy, Drama",0
10005222-red_cockroaches,48.0,80.0,82.0,"Drama, Sci-fi",0
